# Simulation 1 (Up to date)
# 357 data points written for 12 variables.
#
# Tempo (s),Altitude (m),Número de Mach (​),Número de Reynolds (​),Coeficiente de arrasto (​),Coeficiente de arrasto axial (​),Coeficiente de arrasto de atrito (​),Coeficiente de arrasto de pressão (​),Coeficiente de arrasto de base (​),Coeficiente de força normal (​),Temperatura do ar (°C),Pressão do ar (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
10.951,628.408,0.003,2.271e4,0.775,0.803,0.481,0.173,0.12,0.592,15.24,845.216
11.001,628.438,0.001,9806.876,0.926,1.091,0.636,0.17,0.12,1.735,15.24,845.213
# Event APOGEE occurred at t=11.051 seconds
11.051,628.444,4.172e-4,3772.3,0.924,-1.059,0.636,0.168,0.12,3.147,15.24,845.213
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=11.052 seconds
11.101,628.426,0.002,1.642e4,0.827,-0.917,0.535,0.172,0.12,2.434,15.24,845.215
11.106,628.422,0.002,1.774e4,NaN,NaN,NaN,NaN,NaN,NaN,15.24,845.215
11.606,626.871,0.002,1.471e5,NaN,NaN,NaN,NaN,NaN,NaN,15.24,845.215
11.825,625.479,0.016,1.905e5,NaN,NaN,NaN,NaN,NaN,NaN,15.252,845.367
11.965,624.42,0.021,2.124e5,NaN,NaN,NaN,NaN,NaN,NaN,15.262,845.504
12.113,623.182,0.023,2.319e5,NaN,NaN,NaN,NaN,NaN,NaN,15.27,845.607
12.272,621.736,0.026,2.49e5,NaN,NaN,NaN,NaN,NaN,NaN,15.28,845.729
12.454,619.984,0.028,2.642e5,NaN,NaN,NaN,NaN,NaN,NaN,15.291,845.871
12.671,617.766,0.029,2.776e5,NaN,NaN,NaN,NaN,NaN,NaN,15.304,846.043
12.951,614.779,0.031,2.891e5,NaN,NaN,NaN,NaN,NaN,NaN,15.321,846.26
13.354,610.332,0.032,2.981e5,NaN,NaN,NaN,NaN,NaN,NaN,15.344,846.553
13.854,604.689,0.033,3.018e5,NaN,NaN,NaN,NaN,NaN,NaN,15.377,846.989
14.354,599.008,0.033,3.024e5,NaN,NaN,NaN,NaN,NaN,NaN,15.42,847.543
14.854,593.322,0.033,3.025e5,NaN,NaN,NaN,NaN,NaN,NaN,15.463,848.105
15.354,587.637,0.033,3.026e5,NaN,NaN,NaN,NaN,NaN,NaN,15.506,848.689
15.854,581.953,0.033,3.026e5,NaN,NaN,NaN,NaN,NaN,NaN,15.549,849.273
16.354,576.271,0.033,3.027e5,NaN,NaN,NaN,NaN,NaN,NaN,15.592,849.857
16.854,570.59,0.033,3.027e5,NaN,NaN,NaN,NaN,NaN,NaN,15.635,850.44
17.354,564.911,0.033,3.028e5,NaN,NaN,NaN,NaN,NaN,NaN,15.678,851.024
17.854,559.234,0.033,3.028e5,NaN,NaN,NaN,NaN,NaN,NaN,15.721,851.607
18.354,553.558,0.033,3.029e5,NaN,NaN,NaN,NaN,NaN,NaN,15.764,852.19
18.854,547.883,0.033,3.029e5,NaN,NaN,NaN,NaN,NaN,NaN,15.807,852.773
19.354,542.21,0.033,3.03e5,NaN,NaN,NaN,NaN,NaN,NaN,15.85,853.356
19.854,536.538,0.033,3.03e5,NaN,NaN,NaN,NaN,NaN,NaN,15.893,853.939
20.354,530.868,0.033,3.031e5,NaN,NaN,NaN,NaN,NaN,NaN,15.936,854.522
20.854,525.2,0.033,3.031e5,NaN,NaN,NaN,NaN,NaN,NaN,15.979,855.104
21.354,519.533,0.033,3.031e5,NaN,NaN,NaN,NaN,NaN,NaN,16.022,855.686
21.854,513.867,0.033,3.032e5,NaN,NaN,NaN,NaN,NaN,NaN,16.065,856.268
22.354,508.203,0.033,3.032e5,NaN,NaN,NaN,NaN,NaN,NaN,16.108,856.85
22.854,502.541,0.033,3.033e5,NaN,NaN,NaN,NaN,NaN,NaN,16.151,857.432
23.354,496.88,0.033,3.033e5,NaN,NaN,NaN,NaN,NaN,NaN,16.194,858.014
23.854,491.22,0.033,3.034e5,NaN,NaN,NaN,NaN,NaN,NaN,16.237,858.595
24.354,485.562,0.033,3.034e5,NaN,NaN,NaN,NaN,NaN,NaN,16.279,859.177
24.854,479.905,0.033,3.035e5,NaN,NaN,NaN,NaN,NaN,NaN,16.322,859.758
25.354,474.25,0.033,3.035e5,NaN,NaN,NaN,NaN,NaN,NaN,16.365,860.339
25.854,468.597,0.033,3.036e5,NaN,NaN,NaN,NaN,NaN,NaN,16.408,860.92
26.354,462.945,0.033,3.036e5,NaN,NaN,NaN,NaN,NaN,NaN,16.451,861.5
26.854,457.294,0.033,3.036e5,NaN,NaN,NaN,NaN,NaN,NaN,16.494,862.081
27.354,451.645,0.033,3.037e5,NaN,NaN,NaN,NaN,NaN,NaN,16.536,862.661
27.854,445.997,0.033,3.037e5,NaN,NaN,NaN,NaN,NaN,NaN,16.579,863.242
28.354,440.351,0.033,3.038e5,NaN,NaN,NaN,NaN,NaN,NaN,16.622,863.822
28.854,434.706,0.033,3.038e5,NaN,NaN,NaN,NaN,NaN,NaN,16.665,864.402
29.354,429.063,0.033,3.039e5,NaN,NaN,NaN,NaN,NaN,NaN,16.707,864.982
29.854,423.421,0.033,3.039e5,NaN,NaN,NaN,NaN,NaN,NaN,16.75,865.561
30.354,417.781,0.033,3.039e5,NaN,NaN,NaN,NaN,NaN,NaN,16.793,866.141
30.854,412.142,0.033,3.04e5,NaN,NaN,NaN,NaN,NaN,NaN,16.836,866.72
31.354,406.505,0.033,3.04e5,NaN,NaN,NaN,NaN,NaN,NaN,16.878,867.299
31.854,400.869,0.033,3.041e5,NaN,NaN,NaN,NaN,NaN,NaN,16.921,867.878
32.354,395.234,0.033,3.041e5,NaN,NaN,NaN,NaN,NaN,NaN,16.964,868.457
32.854,389.601,0.033,3.042e5,NaN,NaN,NaN,NaN,NaN,NaN,17.006,869.036
33.354,383.97,0.033,3.042e5,NaN,NaN,NaN,NaN,NaN,NaN,17.049,869.615
33.854,378.34,0.033,3.043e5,NaN,NaN,NaN,NaN,NaN,NaN,17.092,870.193
34.354,372.711,0.033,3.043e5,NaN,NaN,NaN,NaN,NaN,NaN,17.134,870.772
34.854,367.084,0.033,3.043e5,NaN,NaN,NaN,NaN,NaN,NaN,17.177,871.35
35.354,361.458,0.033,3.044e5,NaN,NaN,NaN,NaN,NaN,NaN,17.22,871.928
35.854,355.834,0.033,3.044e5,NaN,NaN,NaN,NaN,NaN,NaN,17.262,872.506
36.354,350.211,0.033,3.045e5,NaN,NaN,NaN,NaN,NaN,NaN,17.305,873.083
36.854,344.59,0.033,3.045e5,NaN,NaN,NaN,NaN,NaN,NaN,17.347,873.661
37.354,338.97,0.033,3.046e5,NaN,NaN,NaN,NaN,NaN,NaN,17.39,874.238
37.854,333.351,0.033,3.046e5,NaN,NaN,NaN,NaN,NaN,NaN,17.433,874.816
38.354,327.734,0.033,3.046e5,NaN,NaN,NaN,NaN,NaN,NaN,17.475,875.393
38.854,322.119,0.033,3.047e5,NaN,NaN,NaN,NaN,NaN,NaN,17.518,875.97
39.354,316.504,0.033,3.047e5,NaN,NaN,NaN,NaN,NaN,NaN,17.56,876.546
39.854,310.892,0.033,3.048e5,NaN,NaN,NaN,NaN,NaN,NaN,17.603,877.123
40.354,305.28,0.033,3.048e5,NaN,NaN,NaN,NaN,NaN,NaN,17.645,877.7
40.854,299.67,0.033,3.049e5,NaN,NaN,NaN,NaN,NaN,NaN,17.688,878.276
41.354,294.062,0.033,3.049e5,NaN,NaN,NaN,NaN,NaN,NaN,17.73,878.852
41.854,288.455,0.033,3.049e5,NaN,NaN,NaN,NaN,NaN,NaN,17.773,879.428
42.354,282.849,0.033,3.05e5,NaN,NaN,NaN,NaN,NaN,NaN,17.815,880.004
42.854,277.245,0.033,3.05e5,NaN,NaN,NaN,NaN,NaN,NaN,17.858,880.58
43.354,271.642,0.033,3.051e5,NaN,NaN,NaN,NaN,NaN,NaN,17.9,881.156
43.854,266.041,0.033,3.051e5,NaN,NaN,NaN,NaN,NaN,NaN,17.943,881.731
44.354,260.441,0.033,3.052e5,NaN,NaN,NaN,NaN,NaN,NaN,17.985,882.307
44.854,254.842,0.033,3.052e5,NaN,NaN,NaN,NaN,NaN,NaN,18.027,882.882
45.354,249.245,0.033,3.052e5,NaN,NaN,NaN,NaN,NaN,NaN,18.07,883.457
45.854,243.649,0.033,3.053e5,NaN,NaN,NaN,NaN,NaN,NaN,18.112,884.032
46.354,238.055,0.033,3.053e5,NaN,NaN,NaN,NaN,NaN,NaN,18.155,884.607
46.854,232.462,0.033,3.054e5,NaN,NaN,NaN,NaN,NaN,NaN,18.197,885.181
47.354,226.87,0.033,3.054e5,NaN,NaN,NaN,NaN,NaN,NaN,18.239,885.756
47.854,221.28,0.033,3.054e5,NaN,NaN,NaN,NaN,NaN,NaN,18.282,886.33
48.354,215.692,0.033,3.055e5,NaN,NaN,NaN,NaN,NaN,NaN,18.324,886.904
48.854,210.104,0.033,3.055e5,NaN,NaN,NaN,NaN,NaN,NaN,18.366,887.478
49.354,204.518,0.033,3.056e5,NaN,NaN,NaN,NaN,NaN,NaN,18.409,888.052
49.854,198.934,0.033,3.056e5,NaN,NaN,NaN,NaN,NaN,NaN,18.451,888.626
50.354,193.351,0.033,3.057e5,NaN,NaN,NaN,NaN,NaN,NaN,18.493,889.2
50.854,187.769,0.033,3.057e5,NaN,NaN,NaN,NaN,NaN,NaN,18.536,889.773
51.354,182.189,0.033,3.057e5,NaN,NaN,NaN,NaN,NaN,NaN,18.578,890.347
51.854,176.61,0.033,3.058e5,NaN,NaN,NaN,NaN,NaN,NaN,18.62,890.92
52.354,171.032,0.033,3.058e5,NaN,NaN,NaN,NaN,NaN,NaN,18.662,891.493
52.854,165.456,0.033,3.059e5,NaN,NaN,NaN,NaN,NaN,NaN,18.705,892.066
53.354,159.881,0.033,3.059e5,NaN,NaN,NaN,NaN,NaN,NaN,18.747,892.639
53.854,154.308,0.033,3.059e5,NaN,NaN,NaN,NaN,NaN,NaN,18.789,893.211
54.354,148.736,0.033,3.06e5,NaN,NaN,NaN,NaN,NaN,NaN,18.831,893.784
54.854,143.165,0.033,3.06e5,NaN,NaN,NaN,NaN,NaN,NaN,18.873,894.356
55.354,137.596,0.033,3.061e5,NaN,NaN,NaN,NaN,NaN,NaN,18.916,894.928
55.854,132.028,0.032,3.061e5,NaN,NaN,NaN,NaN,NaN,NaN,18.958,895.5
56.354,126.461,0.032,3.061e5,NaN,NaN,NaN,NaN,NaN,NaN,19,896.072
56.854,120.896,0.032,3.062e5,NaN,NaN,NaN,NaN,NaN,NaN,19.042,896.644
57.354,115.332,0.032,3.062e5,NaN,NaN,NaN,NaN,NaN,NaN,19.084,897.216
57.854,109.77,0.032,3.063e5,NaN,NaN,NaN,NaN,NaN,NaN,19.126,897.787
58.354,104.209,0.032,3.063e5,NaN,NaN,NaN,NaN,NaN,NaN,19.169,898.359
58.854,98.649,0.032,3.063e5,NaN,NaN,NaN,NaN,NaN,NaN,19.211,898.93
59.354,93.09,0.032,3.064e5,NaN,NaN,NaN,NaN,NaN,NaN,19.245,899.391
59.854,87.533,0.032,3.064e5,NaN,NaN,NaN,NaN,NaN,NaN,19.253,899.508
60.354,81.975,0.032,3.064e5,NaN,NaN,NaN,NaN,NaN,NaN,19.261,899.625
60.854,76.418,0.032,3.064e5,NaN,NaN,NaN,NaN,NaN,NaN,19.27,899.743
61.354,70.861,0.032,3.064e5,NaN,NaN,NaN,NaN,NaN,NaN,19.278,899.86
61.854,65.305,0.032,3.064e5,NaN,NaN,NaN,NaN,NaN,NaN,19.287,899.977
62.354,59.749,0.032,3.064e5,NaN,NaN,NaN,NaN,NaN,NaN,19.295,900.095
62.854,54.193,0.032,3.064e5,NaN,NaN,NaN,NaN,NaN,NaN,19.304,900.212
63.354,48.637,0.032,3.064e5,NaN,NaN,NaN,NaN,NaN,NaN,19.312,900.329
63.854,43.082,0.032,3.065e5,NaN,NaN,NaN,NaN,NaN,NaN,19.32,900.447
64.354,37.526,0.032,3.065e5,NaN,NaN,NaN,NaN,NaN,NaN,19.329,900.564
64.854,31.971,0.032,3.065e5,NaN,NaN,NaN,NaN,NaN,NaN,19.337,900.681
65.354,26.417,0.032,3.065e5,NaN,NaN,NaN,NaN,NaN,NaN,19.346,900.798
65.854,20.863,0.032,3.065e5,NaN,NaN,NaN,NaN,NaN,NaN,19.354,900.916
66.354,15.308,0.032,3.065e5,NaN,NaN,NaN,NaN,NaN,NaN,19.362,901.033
66.854,9.755,0.032,3.065e5,NaN,NaN,NaN,NaN,NaN,NaN,19.371,901.15
67.354,4.201,0.032,3.065e5,NaN,NaN,NaN,NaN,NaN,NaN,19.379,901.267
# Event GROUND_HIT occurred at t=67.732 seconds
# Event SIMULATION_END occurred at t=67.732 seconds
67.732,0,0.032,3.065e5,NaN,NaN,NaN,NaN,NaN,NaN,19.388,901.385
