# Simulation 1 (Up to date)
# 369 data points written for 12 variables.
#
# Tempo (s),Altitude (m),Número de Mach (​),Número de Reynolds (​),Coeficiente de arrasto (​),Coeficiente de arrasto axial (​),Coeficiente de arrasto de atrito (​),Coeficiente de arrasto de pressão (​),Coeficiente de arrasto de base (​),Coeficiente de força normal (​),Temperatura do ar (°C),Pressão do ar (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
21.678,547.433,0.033,3.017e5,NaN,NaN,NaN,NaN,NaN,NaN,15.811,852.822
22.178,541.782,0.033,3.018e5,NaN,NaN,NaN,NaN,NaN,NaN,15.854,853.403
22.678,536.133,0.033,3.018e5,NaN,NaN,NaN,NaN,NaN,NaN,15.896,853.983
23.178,530.485,0.033,3.019e5,NaN,NaN,NaN,NaN,NaN,NaN,15.939,854.563
23.678,524.839,0.033,3.019e5,NaN,NaN,NaN,NaN,NaN,NaN,15.982,855.143
24.178,519.195,0.033,3.02e5,NaN,NaN,NaN,NaN,NaN,NaN,16.025,855.723
24.678,513.552,0.033,3.02e5,NaN,NaN,NaN,NaN,NaN,NaN,16.067,856.303
25.178,507.91,0.033,3.02e5,NaN,NaN,NaN,NaN,NaN,NaN,16.11,856.883
25.678,502.27,0.033,3.021e5,NaN,NaN,NaN,NaN,NaN,NaN,16.153,857.462
26.178,496.631,0.033,3.021e5,NaN,NaN,NaN,NaN,NaN,NaN,16.196,858.042
26.678,490.994,0.033,3.022e5,NaN,NaN,NaN,NaN,NaN,NaN,16.238,858.621
27.178,485.358,0.033,3.022e5,NaN,NaN,NaN,NaN,NaN,NaN,16.281,859.2
27.678,479.724,0.033,3.023e5,NaN,NaN,NaN,NaN,NaN,NaN,16.324,859.779
28.178,474.092,0.033,3.023e5,NaN,NaN,NaN,NaN,NaN,NaN,16.366,860.357
28.678,468.46,0.033,3.024e5,NaN,NaN,NaN,NaN,NaN,NaN,16.409,860.936
29.178,462.831,0.033,3.024e5,NaN,NaN,NaN,NaN,NaN,NaN,16.452,861.514
29.678,457.202,0.033,3.024e5,NaN,NaN,NaN,NaN,NaN,NaN,16.494,862.093
30.178,451.575,0.033,3.025e5,NaN,NaN,NaN,NaN,NaN,NaN,16.537,862.671
30.678,445.95,0.033,3.025e5,NaN,NaN,NaN,NaN,NaN,NaN,16.58,863.249
31.178,440.326,0.033,3.026e5,NaN,NaN,NaN,NaN,NaN,NaN,16.622,863.827
31.678,434.704,0.033,3.026e5,NaN,NaN,NaN,NaN,NaN,NaN,16.665,864.404
32.178,429.083,0.033,3.027e5,NaN,NaN,NaN,NaN,NaN,NaN,16.707,864.982
32.678,423.463,0.033,3.027e5,NaN,NaN,NaN,NaN,NaN,NaN,16.75,865.559
33.178,417.845,0.033,3.027e5,NaN,NaN,NaN,NaN,NaN,NaN,16.793,866.137
33.678,412.229,0.033,3.028e5,NaN,NaN,NaN,NaN,NaN,NaN,16.835,866.714
34.178,406.613,0.033,3.028e5,NaN,NaN,NaN,NaN,NaN,NaN,16.878,867.291
34.678,401,0.033,3.029e5,NaN,NaN,NaN,NaN,NaN,NaN,16.92,867.867
35.178,395.388,0.033,3.029e5,NaN,NaN,NaN,NaN,NaN,NaN,16.963,868.444
35.678,389.777,0.033,3.03e5,NaN,NaN,NaN,NaN,NaN,NaN,17.005,869.02
36.178,384.167,0.033,3.03e5,NaN,NaN,NaN,NaN,NaN,NaN,17.048,869.597
36.678,378.56,0.033,3.031e5,NaN,NaN,NaN,NaN,NaN,NaN,17.09,870.173
37.178,372.953,0.033,3.031e5,NaN,NaN,NaN,NaN,NaN,NaN,17.133,870.749
37.678,367.348,0.033,3.031e5,NaN,NaN,NaN,NaN,NaN,NaN,17.175,871.325
38.178,361.744,0.033,3.032e5,NaN,NaN,NaN,NaN,NaN,NaN,17.218,871.901
38.678,356.142,0.033,3.032e5,NaN,NaN,NaN,NaN,NaN,NaN,17.26,872.476
39.178,350.542,0.033,3.033e5,NaN,NaN,NaN,NaN,NaN,NaN,17.302,873.052
39.678,344.942,0.033,3.033e5,NaN,NaN,NaN,NaN,NaN,NaN,17.345,873.627
40.178,339.344,0.033,3.034e5,NaN,NaN,NaN,NaN,NaN,NaN,17.387,874.202
40.678,333.748,0.033,3.034e5,NaN,NaN,NaN,NaN,NaN,NaN,17.43,874.777
41.178,328.153,0.033,3.034e5,NaN,NaN,NaN,NaN,NaN,NaN,17.472,875.352
41.678,322.559,0.033,3.035e5,NaN,NaN,NaN,NaN,NaN,NaN,17.514,875.927
42.178,316.967,0.033,3.035e5,NaN,NaN,NaN,NaN,NaN,NaN,17.557,876.501
42.678,311.377,0.033,3.036e5,NaN,NaN,NaN,NaN,NaN,NaN,17.599,877.076
43.178,305.787,0.033,3.036e5,NaN,NaN,NaN,NaN,NaN,NaN,17.642,877.65
43.678,300.199,0.033,3.036e5,NaN,NaN,NaN,NaN,NaN,NaN,17.684,878.224
44.178,294.613,0.033,3.037e5,NaN,NaN,NaN,NaN,NaN,NaN,17.726,878.798
44.678,289.028,0.033,3.037e5,NaN,NaN,NaN,NaN,NaN,NaN,17.769,879.372
45.178,283.444,0.033,3.038e5,NaN,NaN,NaN,NaN,NaN,NaN,17.811,879.946
45.678,277.862,0.033,3.038e5,NaN,NaN,NaN,NaN,NaN,NaN,17.853,880.519
46.178,272.281,0.033,3.039e5,NaN,NaN,NaN,NaN,NaN,NaN,17.895,881.092
46.678,266.702,0.033,3.039e5,NaN,NaN,NaN,NaN,NaN,NaN,17.938,881.666
47.178,261.124,0.033,3.039e5,NaN,NaN,NaN,NaN,NaN,NaN,17.98,882.239
47.678,255.547,0.033,3.04e5,NaN,NaN,NaN,NaN,NaN,NaN,18.022,882.812
48.178,249.972,0.033,3.04e5,NaN,NaN,NaN,NaN,NaN,NaN,18.064,883.385
48.678,244.398,0.033,3.041e5,NaN,NaN,NaN,NaN,NaN,NaN,18.107,883.957
49.178,238.825,0.033,3.041e5,NaN,NaN,NaN,NaN,NaN,NaN,18.149,884.53
49.678,233.254,0.033,3.042e5,NaN,NaN,NaN,NaN,NaN,NaN,18.191,885.102
50.178,227.685,0.033,3.042e5,NaN,NaN,NaN,NaN,NaN,NaN,18.233,885.674
50.678,222.116,0.033,3.042e5,NaN,NaN,NaN,NaN,NaN,NaN,18.275,886.247
51.178,216.55,0.033,3.043e5,NaN,NaN,NaN,NaN,NaN,NaN,18.318,886.819
51.678,210.984,0.033,3.043e5,NaN,NaN,NaN,NaN,NaN,NaN,18.36,887.39
52.178,205.42,0.032,3.044e5,NaN,NaN,NaN,NaN,NaN,NaN,18.402,887.962
52.678,199.857,0.032,3.044e5,NaN,NaN,NaN,NaN,NaN,NaN,18.444,888.534
53.178,194.296,0.032,3.044e5,NaN,NaN,NaN,NaN,NaN,NaN,18.486,889.105
53.678,188.736,0.032,3.045e5,NaN,NaN,NaN,NaN,NaN,NaN,18.528,889.676
54.178,183.177,0.032,3.045e5,NaN,NaN,NaN,NaN,NaN,NaN,18.57,890.247
54.678,177.62,0.032,3.046e5,NaN,NaN,NaN,NaN,NaN,NaN,18.613,890.818
55.178,172.065,0.032,3.046e5,NaN,NaN,NaN,NaN,NaN,NaN,18.655,891.389
55.678,166.51,0.032,3.046e5,NaN,NaN,NaN,NaN,NaN,NaN,18.697,891.96
56.178,160.957,0.032,3.047e5,NaN,NaN,NaN,NaN,NaN,NaN,18.739,892.53
56.678,155.405,0.032,3.047e5,NaN,NaN,NaN,NaN,NaN,NaN,18.781,893.101
57.178,149.855,0.032,3.048e5,NaN,NaN,NaN,NaN,NaN,NaN,18.823,893.671
57.678,144.306,0.032,3.048e5,NaN,NaN,NaN,NaN,NaN,NaN,18.865,894.241
58.178,138.758,0.032,3.048e5,NaN,NaN,NaN,NaN,NaN,NaN,18.907,894.811
58.678,133.212,0.032,3.049e5,NaN,NaN,NaN,NaN,NaN,NaN,18.949,895.381
59.178,127.667,0.032,3.049e5,NaN,NaN,NaN,NaN,NaN,NaN,18.991,895.951
59.678,122.124,0.032,3.05e5,NaN,NaN,NaN,NaN,NaN,NaN,19.033,896.52
60.178,116.582,0.032,3.05e5,NaN,NaN,NaN,NaN,NaN,NaN,19.075,897.09
60.678,111.041,0.032,3.05e5,NaN,NaN,NaN,NaN,NaN,NaN,19.117,897.659
61.178,105.501,0.032,3.051e5,NaN,NaN,NaN,NaN,NaN,NaN,19.159,898.228
61.678,99.963,0.032,3.051e5,NaN,NaN,NaN,NaN,NaN,NaN,19.201,898.797
62.178,94.427,0.032,3.052e5,NaN,NaN,NaN,NaN,NaN,NaN,19.243,899.363
62.678,88.891,0.032,3.052e5,NaN,NaN,NaN,NaN,NaN,NaN,19.251,899.48
63.178,83.355,0.032,3.052e5,NaN,NaN,NaN,NaN,NaN,NaN,19.259,899.597
63.678,77.82,0.032,3.052e5,NaN,NaN,NaN,NaN,NaN,NaN,19.268,899.714
64.178,72.285,0.032,3.052e5,NaN,NaN,NaN,NaN,NaN,NaN,19.276,899.83
64.678,66.75,0.032,3.052e5,NaN,NaN,NaN,NaN,NaN,NaN,19.285,899.947
65.178,61.216,0.032,3.052e5,NaN,NaN,NaN,NaN,NaN,NaN,19.293,900.064
65.678,55.682,0.032,3.052e5,NaN,NaN,NaN,NaN,NaN,NaN,19.301,900.181
66.178,50.148,0.032,3.052e5,NaN,NaN,NaN,NaN,NaN,NaN,19.31,900.298
66.678,44.614,0.032,3.052e5,NaN,NaN,NaN,NaN,NaN,NaN,19.318,900.415
67.178,39.081,0.032,3.052e5,NaN,NaN,NaN,NaN,NaN,NaN,19.326,900.531
67.678,33.548,0.032,3.053e5,NaN,NaN,NaN,NaN,NaN,NaN,19.335,900.648
68.178,28.015,0.032,3.053e5,NaN,NaN,NaN,NaN,NaN,NaN,19.343,900.765
68.678,22.483,0.032,3.053e5,NaN,NaN,NaN,NaN,NaN,NaN,19.352,900.882
69.178,16.95,0.032,3.053e5,NaN,NaN,NaN,NaN,NaN,NaN,19.36,900.999
69.678,11.418,0.032,3.053e5,NaN,NaN,NaN,NaN,NaN,NaN,19.368,901.116
70.178,5.887,0.032,3.053e5,NaN,NaN,NaN,NaN,NaN,NaN,19.377,901.232
70.678,0.355,0.032,3.053e5,NaN,NaN,NaN,NaN,NaN,NaN,19.385,901.349
# Event GROUND_HIT occurred at t=70.71 seconds
# Event SIMULATION_END occurred at t=70.71 seconds
70.71,0,0.032,3.053e5,NaN,NaN,NaN,NaN,NaN,NaN,19.394,901.466
